title_romaji,title_english,score,rank,popularity_rank,members,season,type,studio,genres,themes
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Kaguya-sama: Love is War -The First Kiss That Never Ends-,8.73,48,790.0,333092,,Movie,A-1 Pictures,"Comedy,Drama,Romance,School,Seinen",
Kingdom 4th Season,Kingdom: Season 4,8.73,49,2620.0,79717,Spring 2022,TV,Pierrot,"Action,Historical,Military,Seinen",
One Piece,,8.73,50,17.0,2543698,Fall 1999,TV,Toei Animation,"Action,Adventure,Fantasy,Shounen",
Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,8.72,51,75.0,1611117,Winter 2022,TV,ufotable,"Action,Supernatural,Historical,Shounen",
Kingdom 5th Season,Kingdom: Season 5,8.72,52,3351.0,51461,Winter 2024,TV,Pierrot,"Action,Historical,Military,Seinen",
Mushishi Zoku Shou 2nd Season,Mushi-shi: Next Passage Part 2,8.72,53,930.0,283501,Fall 2014,TV,Artland,"Adventure,Mystery,Slice_of_Life,Supernatural,Historical,Seinen","Adult_Cast,Iyashikei"
Shiguang Dailiren,Link Click,8.72,54,567.0,440321,,ONA,LAN Studio,"Drama,Mystery,Suspense,Super_Power","Adult_Cast,Time_Travel"
The First Slam Dunk,,8.72,55,2912.0,66554,,Movie,Toei Animation,"Award_Winning,Sports,School,Shounen",Team_Sports
86 Part 2,86 Eighty-Six Part 2,8.72,56,408.0,585839,Fall 2021,TV,A-1 Pictures,"Action,Drama,Sci-Fi,Mecha,Military",
Chi. Chikyuu no Undou ni Tsuite,Orb: On the Movements of the Earth,8.71,57,1239.0,213493,Fall 2024,TV,Madhouse,"Drama,Historical,Seinen",
Hibike! Euphonium 3,Sound! Euphonium 3,8.71,58,2470.0,87727,Spring 2024,TV,Kyoto Animation,"Drama,Music,School",
Mob Psycho 100 III,,8.71,59,267.0,788840,Fall 2022,TV,Bones,"Action,Comedy,Supernatural",
